http://pathwaycommons.org/pc2/Pathway_001ba503d02d9db34d147b0f76b964ed,adenine,353
http://pathwaycommons.org/pc2/Pathway_067119bdab7ca0670b91ee69d6aa0f2f,sucrose,226 229 130589 3795 6476 7167
http://pathwaycommons.org/pc2/Pathway_090e1de7fb93f9b4ece7bd65f8e3bada,thio-molybdenum,55034
http://pathwaycommons.org/pc2/Pathway_0af030d9a4d11131ab7ac21e6c1af69e,D-myo-inositol-5-phosphate,64419 8897 5305 79837 90809 55529 23236 5330 5331 5332 5333 113026 84812 51196 5335 5336 23007 9651 89869
http://pathwaycommons.org/pc2/Pathway_0bc7afc85638d15169b65497ea46c93c,creatine-phosphate,1152 1158 548596 1159 1160
http://pathwaycommons.org/pc2/Pathway_0cb576ac35c7d40ffbf31e24a61f44cb,D-myo-inositol,253430 3705 9562
http://pathwaycommons.org/pc2/Pathway_0cd19772ceec601be0a330e590389593,glutamate,8836
http://pathwaycommons.org/pc2/Pathway_0d6eea0096804ac35002a57c341cec10,sulfate,9061 9060
http://pathwaycommons.org/pc2/Pathway_0da45cf663d9b2403abf604b53696bb4,dermatan,3073 3373 3425
http://pathwaycommons.org/pc2/Pathway_0e596929593d0cbecdac5df1fb862ea3,glycine,2593 2628
http://pathwaycommons.org/pc2/Pathway_0e61e99d79fc54a6958fe5da713acea9,S-methyl-5'-thioadenosine,4507
http://pathwaycommons.org/pc2/Pathway_10c439ec3099009a3785a4861e5cdfa5,methylglyoxal,231 57016 1571
http://pathwaycommons.org/pc2/Pathway_120845916cfc1efe2491d9bf198d33fb,purine,158 159 122622 471 2618 8833 3614 3615 10606 5198 5471
http://pathwaycommons.org/pc2/Pathway_1253f151901003f072f5863025151c90,histamine,3067
http://pathwaycommons.org/pc2/Pathway_12d57991342ef11d6a7596083f93228e,UDP-D-xylose,7358 80146
http://pathwaycommons.org/pc2/Pathway_13434bacc83a131fcb8d88e95cf2dc38,heme,210 211 212 1371 2235 3145 5498 7389 7390
http://pathwaycommons.org/pc2/Pathway_139163caa9560d662e167f6c8f3c014e,glycine,189 64902
http://pathwaycommons.org/pc2/Pathway_15dadf5ba37217b2296d74d7cf3b4633,threonine,23464
http://pathwaycommons.org/pc2/Pathway_169ace457e7461b1da42e6f4ad42509a,guanine,3251 4860
http://pathwaycommons.org/pc2/Pathway_18d875fcec2cfb6b42a0fba376224e9f,CDP-diacylglycerol,51099 10554 10555 56894 56895 55326 1040 8760 57678 150763 84803 137964 2820 253558 10162 254531 154141 129642 79143
http://pathwaycommons.org/pc2/Pathway_19fd8bcdf421ef6fd8e4ad6fb34ffcdb,phenylalanine,5053 5092 84105 5860
http://pathwaycommons.org/pc2/Pathway_1a47582107c4d2fe545d33ba0fa59418,inosine-5'-phosphate,158 471 10606
http://pathwaycommons.org/pc2/Pathway_1acb96a7e1621e378037769d0717c390,colanic,2582 2584 2592 2762 29926 29925 2821 4351 5372 5373 7264 7358 7360
http://pathwaycommons.org/pc2/Pathway_1bf8d5ff19ddde5f27c652e5f428c191,superpathway,3612 3613 54928 3628 3632 3633 3635 22876 27124 51763 3636 253430 3706 3707 80271 9562 4952 5728 8867 8871
http://pathwaycommons.org/pc2/Pathway_2072dbbef5d992f9b95474f170aefafc,3-phosphoinositide,3631 8821 3633 3635 56623 22876 27124 51763 3636 64419 8897 4952 90809 55529 23203 5728 114971 22908 8867 8871 93492
http://pathwaycommons.org/pc2/Pathway_211efa607d29a464705e3403054a4423,dermatan,113189 51363 29940 10090
http://pathwaycommons.org/pc2/Pathway_238872d2ba56a45cd8f31957b1e52d0f,D-myo-inositol,3632 3633 3635 27124 51763 3636 253430 3706 3707 80271 9562 4952 5728 8867 8871
http://pathwaycommons.org/pc2/Pathway_26f9b574f9b0eda122a0ef507dcadb2b,4-hydroxyphenylpyruvate,6898
http://pathwaycommons.org/pc2/Pathway_2773ae3d319bb5ef501ae2fe32b27ce2,ketolysis,30 38 622 56898 3032 5019
http://pathwaycommons.org/pc2/Pathway_28984c27a61ace47ae4c13e58c1b4bf7,lanosterol,4047
http://pathwaycommons.org/pc2/Pathway_2a2330bb8749059a077bb1a37c311af5,glutathione-mediated,290 8836 2678 124975 2686 2938 2939 2940 2941 221357 373156 2944 2946 2947 2948 2949 119391 2950 2952 2953 653689 2954 4257 4258 4259
http://pathwaycommons.org/pc2/Pathway_2b3cce86da8711ac6e0db857fcc4163a,arginine,8659 383 384 4942
http://pathwaycommons.org/pc2/Pathway_2beeea5e952e5cf7da51413dcb358242,spermidine,262 6723
http://pathwaycommons.org/pc2/Pathway_2d0334e7e2698b3018ce0d44c5a268f3,superpathway,26227 29968 5723 6470 6472
http://pathwaycommons.org/pc2/Pathway_3044afd98e7724503d23b3344e315ab8,BMP,650 6497 4089 7321 7323 9765
http://pathwaycommons.org/pc2/Pathway_313b0a93fefc7f256af26038aaba97cf,alpha-tocopherol,8529
http://pathwaycommons.org/pc2/Pathway_31c0b9d7e71766bad35a0c96a33f003f,D-glucuronate,51084 51181
http://pathwaycommons.org/pc2/Pathway_33419688b24047de3f3aef76cd9f3d30,oxidized,4521
http://pathwaycommons.org/pc2/Pathway_338de947a20383a875201f3858014052,L-carnitine,223 8424 55217
http://pathwaycommons.org/pc2/Pathway_33ec398073870e4158f68a9b7532235e,urea,383 384 435 445 1373 5009
http://pathwaycommons.org/pc2/Pathway_344eee2469c02504d503dee637795298,anandamide,2166 158584
http://pathwaycommons.org/pc2/Pathway_3494efca8b7b55070f2b2e56bc40d52d,glutamate,2746 2747
http://pathwaycommons.org/pc2/Pathway_34b1083b7d2d0be77fd947757fe7ad59,leukotriene,240 1800 64174 728441 2679 4048 4056
http://pathwaycommons.org/pc2/Pathway_35aba771c1a47bbe81a444e4df3ecd76,tetrahydrofolate,2618 4522 10797 441024
http://pathwaycommons.org/pc2/Pathway_3603782db1c22cdd4f50d13969e11c99,trehalose,130589 2645 80201 11181
http://pathwaycommons.org/pc2/Pathway_36ce818a58165d8fdb43b0dabbed6e85,folate,2356 4522 25902 6470 6472
http://pathwaycommons.org/pc2/Pathway_38170dbb8f47c798a2791980a8c9e7a6,thyroid,1509 7173
http://pathwaycommons.org/pc2/Pathway_3949968259d0bafd4b0bb072f756e00b,tetrapyrrole,210 211 212 3145 7390
http://pathwaycommons.org/pc2/Pathway_3b14271d50c4960e7edeb779b55db56b,glucose,2645 80201 5236 55276 5239
http://pathwaycommons.org/pc2/Pathway_3c39256d1a0b8b3222d026e5c46dc1ab,MAP,7529
http://pathwaycommons.org/pc2/Pathway_3d10d2688f2461963780aeb7274a95dc,methylglyoxal,197257
http://pathwaycommons.org/pc2/Pathway_3da8b9aa10d3f1d5b92a7e7ab6bd7904,ketogenesis,30 38 622 3032 3155 3158
http://pathwaycommons.org/pc2/Pathway_3f8fb16cb932d3389fd1deca957d2eac,pyridoxal,8566 55163
http://pathwaycommons.org/pc2/Pathway_404c3bdab8cb8e083148eab2d71f0e02,diphthamide,51611
http://pathwaycommons.org/pc2/Pathway_40e91692da56c1037e95a6ce57cb3c38,(S)-reticuline,7299
http://pathwaycommons.org/pc2/Pathway_418d92c83160d0ddc7c878aa797c4e14,noradrenaline,125 127 130 217 224 1312 220074 4128 4129 5409
http://pathwaycommons.org/pc2/Pathway_4267e68408f6efedb5fe948ad04798cb,serotonin,15 438 1644 7166 121278
http://pathwaycommons.org/pc2/Pathway_43425d85cedde32136e94dc65a05a64e,trans,,2224 9453 3422 91734
http://pathwaycommons.org/pc2/Pathway_4358a0b1dc1741139d604aff9010c609,purine,100 113179 9615 3614 3615 84618 22978 51251 115024 4907 4860 7498
http://pathwaycommons.org/pc2/Pathway_43e05bd36bd327829396cb8f2ae87429,arginine,383 384 4942 5831 29920 65263
http://pathwaycommons.org/pc2/Pathway_44e9d5d475be5cfef700fd5ff7ad3630,chondroitin,411 2588 3073 3373 23553
http://pathwaycommons.org/pc2/Pathway_45441c583c3fabeaf098720ecfbcd877,oleate,641371 10965 122970 3992 9415 283985 6319 79966
http://pathwaycommons.org/pc2/Pathway_45b28341252eb43aef72afaa18dc6c99,superpathway,30 38 39 1595 1718 1717 10682 2222 2224 9453 3032 3156 3157 3158 51478 3422 91734 3930 4047 6307 4597 4598 50814 10654 6309 6713 7108
http://pathwaycommons.org/pc2/Pathway_498eee081205c8c72c6f63f90ad0318e,pentose,6120 22934 6888 7086 8277 84076
http://pathwaycommons.org/pc2/Pathway_49c7fa91094209f61474bff9e6198d73,sorbitol,6652
http://pathwaycommons.org/pc2/Pathway_49e0aea657460db938a67d82a95c7927,urate,3614 3615 22978 115024 4907 4860 7498
http://pathwaycommons.org/pc2/Pathway_4a1fa9777438701c7b1fb5fd080453c1,uridine-5'-phosphate,790 7372
http://pathwaycommons.org/pc2/Pathway_4a2205882e139883ce3fac50f122726c,spermine,8639 196743 6303 112483 54498
http://pathwaycommons.org/pc2/Pathway_4a43c8eff1aa6c5a2ff2d357637b5ad2,phenylethylamine,217 224 314 8639
http://pathwaycommons.org/pc2/Pathway_4b5817426aa06d5456255ca9350b106a,lysine,10157 501 51097
http://pathwaycommons.org/pc2/Pathway_4b8019df422d6144d972d95634d791fe,tyrosine,2184 2954 3081 3242 6898
http://pathwaycommons.org/pc2/Pathway_4e2e8baea3c5bfa8dbfe04ddd46101da,methylthiopropionate,55256
http://pathwaycommons.org/pc2/Pathway_4e8d4814967203e79f04c55c978a9e00,fatty,224 79152 26061
http://pathwaycommons.org/pc2/Pathway_517cbaeaa140454a37a722ea49b653df,cholesterol,1595 1718 1717 10682 2222 51478 3930 4047 6307 50814 6309 6713 7108
http://pathwaycommons.org/pc2/Pathway_526abf0b0df9b03b11190919d56e8b18,taurine,1036 51380
http://pathwaycommons.org/pc2/Pathway_55757cb56149748e34cb1751299f28e6,glutamate,2746 2747
http://pathwaycommons.org/pc2/Pathway_56692e995cfe315199e957d418c27140,all-trans-decaprenyl,23590 57107
http://pathwaycommons.org/pc2/Pathway_5820ea42d3f08b22781fb52606a20c21,L-cysteine,4357
http://pathwaycommons.org/pc2/Pathway_588d8e3df5e5d4f33d9c20c1d76142de,citrulline,5009
http://pathwaycommons.org/pc2/Pathway_5d35c3a0069f8551d8ab19f316109b49,PRPP,5631 221823 5634
http://pathwaycommons.org/pc2/Pathway_5def38935c693b6da2208dbd3dc6e371,salvage,57379 978 4830 4831 283458 4832 4833 8382 10201 29922 83549 7371 54963 7378 151531 139596
http://pathwaycommons.org/pc2/Pathway_5e4994e6791713b2194d11c908ad957c,ceramide,123099 2531 10558 9517 55304
http://pathwaycommons.org/pc2/Pathway_5ea81361a28baa5979f87d135f5e11a9,protein,29943 11240 51702 23569 353238
http://pathwaycommons.org/pc2/Pathway_5eef990eccc0cb638468557572e680f2,phosphatidylethanolamine,10390 1120 55500 55224 5833 85465
http://pathwaycommons.org/pc2/Pathway_5f3da8f211089c1e68b6ca11114ee65e,glutathione,2729 2730 2937
http://pathwaycommons.org/pc2/Pathway_5fc3b70a0e4e3ce5e662239e503b00fa,L-dopa,1312
http://pathwaycommons.org/pc2/Pathway_605eed9a5cf3ed98084b01fcd40db4de,gluconeogenesis,226 229 669 2023 2026 2027 2203 8789 2597 26330 2821 4190 4191 4199 4200 10873 5105 5223 5224 5230 5232 1462
http://pathwaycommons.org/pc2/Pathway_640dd6e000e28137bd60b0eccbd8daac,pentose,2539 9563 5226 25796 6120 22934 6888 7086 8277 84076
http://pathwaycommons.org/pc2/Pathway_672f411f3e3e84b879ed39867851d05b,NAD,64802 23057 349565 54981 27231
http://pathwaycommons.org/pc2/Pathway_6746252a90001212017cae7fb2e59f67,S-methyl-5-thio-alpha-D-ribose,55256 51074 58478 84245
http://pathwaycommons.org/pc2/Pathway_682316205623f639686c2aa4a162f4f9,1D-myo-inositol,3632 3633 3635 27124 51763 3636 253430 64768 3705 3706 3707 80271 4952 8867 8871
http://pathwaycommons.org/pc2/Pathway_68d5753d92d356e7903c98c1087a34e7,alanine,2875 84706
http://pathwaycommons.org/pc2/Pathway_6ab4b2e7063f635ffc573ed881b47a7e,CMP-N-acetylneuraminate,55907 10020 140838 54187
http://pathwaycommons.org/pc2/Pathway_6b2b879038ea746b1072a12d27129d05,asparagine,440
http://pathwaycommons.org/pc2/Pathway_6bf6d39c0284b6d253b3fe4135db730f,dolichyl-diphosphooligosaccharide,56052 79868 10195 29880 29929 79053 1798 8813 54344
http://pathwaycommons.org/pc2/Pathway_6d45ab84e1c4fedd18b48d089a552ee6,epoxysqualene,2222 6713
http://pathwaycommons.org/pc2/Pathway_7027e6eec367a165d39fc0506fb89782,pyrimidine,124583 51727 129607 1503 56474 4830 4831 283458 4832 4833 8382 10201 29922
http://pathwaycommons.org/pc2/Pathway_705a8c6b40a9438c4f3b325dcf7508a2,4-aminobutyrate,18 7915
http://pathwaycommons.org/pc2/Pathway_71cb45acb3e43323bc18ff714ba22ccc,dolichol,79947 22845 79644
http://pathwaycommons.org/pc2/Pathway_722f524206c3ba00b651ef3c2b6708a5,uracil,1400 1806 1807 1808 1809 10570 56896 51733
http://pathwaycommons.org/pc2/Pathway_75d655826503e134c20309f838e2068b,alanine,2875 84706
http://pathwaycommons.org/pc2/Pathway_767c81111a24ca5db7cc51f144015be8,NAD,55191 64802 23057 349565 23475
http://pathwaycommons.org/pc2/Pathway_7ae6d7803ae264da986758596133a393,tryptophan,30 38 39 130013 125061 2639 23498 3032 8564 8942 6999
http://pathwaycommons.org/pc2/Pathway_7fe61165a75849f540b65ce1690210bf,calcium,487 488 489 27032 9914
http://pathwaycommons.org/pc2/Pathway_7fff32089832ddaad8971c3f08607bfd,L-serine,10993 113675
http://pathwaycommons.org/pc2/Pathway_81b747b34f75519610cacb283fa66d6f,tryptophan,10327 224 1644 4128 4129
http://pathwaycommons.org/pc2/Pathway_82da4a008a30ea0c611becce6656c8a0,NADH,2597 55739 128240
http://pathwaycommons.org/pc2/Pathway_832e385f18972438172d7006f1a96627,spermine,262 6611
http://pathwaycommons.org/pc2/Pathway_836b5cf2007be6e39d01d732a1e1c1b4,triacylglycerol,51099 10554 10555 56894 56895 55326 8694 84649 57678 150763 84803 137964 253558 10162 254531 154141 129642 79143 116255 346606 8611 8612 8613 196051 64748 79948 9890
http://pathwaycommons.org/pc2/Pathway_84ccda9bac64f9cb314c19e130a5978c,adenine,100 113179 3251 4860
http://pathwaycommons.org/pc2/Pathway_85082aee2313061ee2bb365270304e69,N-acetylglucosamine,51005 10007 132789 55577
http://pathwaycommons.org/pc2/Pathway_851afd0320696261fd8ed605d813a071,glutathione,2876 2877 2878 2879 2880 257202 2882 493869 2936
http://pathwaycommons.org/pc2/Pathway_853157b8b695df4c0ab6fa73051b0058,thymine,1400 1806 1807 1808 1809 10570 56896 51733
http://pathwaycommons.org/pc2/Pathway_854f4af9fdff34fea46960576e753d6e,choline,10390 56994 5130 9468 5337 5338 23646 122618 201164
http://pathwaycommons.org/pc2/Pathway_8570bce075cbc83c48242f714b37d964,fatty,2194 54995 146861
http://pathwaycommons.org/pc2/Pathway_8579347c298d4a3e2501f942f1495410,sphingomyelin,339221 142891 259230 166929 6609 6610 55512 55627
http://pathwaycommons.org/pc2/Pathway_859db6c6b207d19469db3b0103dea639,ethanol,84532 55902 79611 217 224 847 7306
http://pathwaycommons.org/pc2/Pathway_86b819fa7096f96a424ce8a801000872,dopamine,224 1312 4128 4129 6817 6799 6818 445329
http://pathwaycommons.org/pc2/Pathway_871cd1d6b30ab52622362786a7c08016,formaldehyde,128 2098
http://pathwaycommons.org/pc2/Pathway_882a025b0a0e417bb1eab6a7892ae53a,tetrahydrobiopterin,2643 5805 6697
http://pathwaycommons.org/pc2/Pathway_88c78578095f843be837ccbe472a9e5f,selenocysteine,118672 6301 54938 22929 22928 51091
http://pathwaycommons.org/pc2/Pathway_8a42ce3907649d1b02003af0804012fd,ceramide,56624
